,GDP_2015,GDP_2010,GDP_2000,GDP_1990,GDP_1980,GDP_1970,GDC_2017,GDC_2010,GDC_2000,GDC_1990,GDC_1980,GDC_1970,PPP_2017,PPP_2010,PPP_2000,PPP_1990,Debt_2017,latitude,longitude
United States,19.362129,14.964,10.285,5.98,2.865,1.076,59495,48373.88,36449.86,23954.48,12597.67,5246.88,57466.79,48373.88,36449.86,23954.48,106.71,39.218786,-99.163012
China,11.937562,6.101,1.211,0.394,0.306,0.092,8583,4561,959,348,312,113,23572.12,12476,3687.72,1108.48,65.68,35.138199,102.937676
Japan,4.8844,5.7001,4.8875,3.14,1.0997,0.2150218,38550,44507.68,38532.04,25417.28,9416.63,2027.07,41469.85,34996.32,26795.21,19454.42,237.918,36.136761,138.284021
Germany,3.651871,3.4171,1.95,1.765,0.9466954,0.2150218,44184,41785.56,23718.75,22219.57,12092.38,2750.72,48729.59,39263.19,27277.11,19421.77,81.964,50.266347,10.178319
France,2.574807,2.2,1.4,1.35,0.703525,0.1489489,39673,40703.34,22465.64,21795.24,12712.6,2862.47,41466.27,36026.98,26192.65,17640.66,90.291,46.16572,2.582436
United Kingdom,2.565051,2.4297,1.6354,1.0932,0.5649477,0.1306719,38847,38709.91,27769.93,19095.47,10032.06,2347.54,42608.92,35740.74,26303.73,16739.15,84.86,53.514318,-1.958819
India,2.439008,1.6566,0.4621458,0.3166973,0.1838399,0.0615898,1852,1345.77,438.86,363.96,263.84,111.26,6572.34,4315.6,1977.65,1134.22,41.11,21.172639,78.239114
Brazil,2.080916,2.209,0.655421,0.461952,0.235025,0.042328,10019,11224.15,3739.12,3093.04,1939.79,444.03,15127.81,14244.98,9012.76,6686.08,71.218,-10.363225,-50.641518
Italy,1.921139,2.1251,1.1418,1.1773,0.4756825,113.0213,31618,35849.37,20051.24,20757.09,8429.02,2099.91,38160.67,35075.75,27006.4,18546.23,126.978,42.744125,12.744688
Canada,1.640385,1.6135,0.7422934,0.5939296,0.2738538,0.0878961,44773,47447.48,24124.17,21371.29,11135.44,4121.93,44025.18,40027.24,29185.36,20107.83,86.515,56.199838,-103.20253
South Korea,1.529743,1.0945,0.5616331,0.2793494,0.0649808,0.0089992,29730,22086.95,11947.58,6516.31,1704.47,279.13,35750.77,30376.87,18083.08,8276.03,33.668,36.509572,127.937238
Russia,1.469341,1.638463,1.425,2.1,1.212,0.4334,10248,10674.99,1771.59,3485.11,,,23162.63,20497.93,6825.41,8012.8,10.877,57.553959,58.807308
Australia,1.39015,1.1429,0.4154462,0.3114259,0.1498875,0.0413047,56135,51874.08,21690.92,18249.29,10201.98,3302.53,46789.93,39191.04,26406.13,17373.77,34.258,-24.373556,134.107053
Spain,1.30717,1.4316,0.5954026,0.5351012,0.2321346,0.0408817,28212,30736,14676.71,13767.38,6191.71,1209,36309.84,31984.16,21517.33,13626.45,97.2,40.160809,-3.443456
Mexico,1.142453,1.0511,0.683648,0.2627098,0.1943568,0.0355417,9249,8959.58,6720.9,3077.75,2802.11,683.1,17861.57,14764.81,10428.99,6037,43.519,23.521396,-102.148772
